macro_f1,acc,roc_auc,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/weight_decay,config/warmup_steps,config/batch_size,config/gradient_accumulation_steps,config/seed,logdir
0.5828412103256755,0.7129943502824859,0.6784766474461459,1755666925,,False,1,5d7385b3,2025-08-20_05-15-25,765.9391634464264,765.9391634464264,370965,jdm2-vm,10.140.0.2,765.9391634464264,1,5.522450517279543e-05,0.0013793282174775654,757,4,8,9016,5d7385b3
0.6441672640382318,0.7623352165725047,0.7510645794342954,1755667772,,False,1,46e1dcd6,2025-08-20_05-29-32,837.6131300926208,837.6131300926208,376373,jdm2-vm,10.140.0.2,837.6131300926208,1,2.401446272743929e-05,0.015873908276808697,315,8,4,5293,46e1dcd6
0.15499681731381285,0.18342749529190208,0.4981445630678073,1755668617,,False,1,57bf6f55,2025-08-20_05-43-37,835.3321602344513,835.3321602344513,381977,jdm2-vm,10.140.0.2,835.3321602344513,1,0.0029152818191619536,0.17904883773718597,274,8,4,1023,57bf6f55
0.6441294554502102,0.8071563088512241,0.7225075202497405,1755669398,,False,1,741b0731,2025-08-20_05-56-38,768.8903050422668,768.8903050422668,386890,jdm2-vm,10.140.0.2,768.8903050422668,1,0.0003031034379443223,0.00017781289314123852,859,4,8,1394,741b0731
0.15499681731381285,0.18342749529190208,0.4979243542435424,1755670244,,False,1,fabcde45,2025-08-20_06-10-44,835.1630716323853,835.1630716323853,394303,jdm2-vm,10.140.0.2,835.1630716323853,1,0.003126161173707324,0.03598335485246741,134,8,8,3500,fabcde45
0.15499681731381285,0.18342749529190208,0.5006473665866021,1755671023,,False,1,593ca438,2025-08-20_06-23-43,767.8684451580048,767.8684451580048,399985,jdm2-vm,10.140.0.2,767.8684451580048,1,0.001873974517425734,0.00016670439265521696,188,4,4,6993,593ca438
0.6498178940465488,0.7581920903954802,0.7606022261454648,1755671872,,False,1,38bb1b2d,2025-08-20_06-37-52,837.9896769523621,837.9896769523621,406955,jdm2-vm,10.140.0.2,837.9896769523621,1,0.00042291757908437803,0.049329148041443324,946,8,8,4626,38bb1b2d
0.5432889313184535,0.6101694915254238,0.6451630776574706,1755672651,,False,1,5c2fc6be,2025-08-20_06-50-51,768.6944768428802,768.6944768428802,415245,jdm2-vm,10.140.0.2,768.6944768428802,1,1.389783997534243e-05,0.026792693693744037,896,4,8,2149,5c2fc6be
0.6878632954780655,0.7939736346516008,0.8259029035362222,1755673434,,False,1,c03ed9d1,2025-08-20_07-03-54,771.8875496387482,771.8875496387482,423392,jdm2-vm,10.140.0.2,771.8875496387482,1,8.29235294899147e-05,0.002137349380928721,145,4,4,1643,c03ed9d1
0.6252575307618388,0.7367231638418079,0.6994405275161582,1755674283,,False,1,157c6ac8,2025-08-20_07-18-03,838.854811668396,838.854811668396,429836,jdm2-vm,10.140.0.2,838.854811668396,1,7.479816747124931e-05,0.02224959383076738,219,8,16,532,157c6ac8
0.6735518736524024,0.8116760828625236,0.7534376254953514,1755675128,,False,1,1b428c27,2025-08-20_07-32-08,834.4535481929779,834.4535481929779,439004,jdm2-vm,10.140.0.2,834.4535481929779,1,0.0008548726874872556,0.0005435631472337014,644,8,16,3852,1b428c27
0.5235510629914908,0.5935969868173258,0.6158771982997037,1755675975,,False,1,24323f60,2025-08-20_07-46-15,836.7016935348511,836.7016935348511,445878,jdm2-vm,10.140.0.2,836.7016935348511,1,0.00018381720417555745,0.0005511225106348906,651,8,16,3331,24323f60
